Subject,Performance,cond_name
o1_highway_C1,0.823888116,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C2,0.774409362,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C3,0.878543678,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C4,0.666174972,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C5,0.728370471,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C1,0.893385664,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C2,0.64886525,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C3,0.628141675,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C4,0.659863177,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C5,0.726226164,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C6,0.685786015,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C1,0.683451016,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C2,0.490077173,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C3,0.646481964,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C4,0.883947655,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C5,0.797743266,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C6,0.883002114,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C1,0.650247204,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C2,0.749652739,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C3,0.821864978,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C4,0.802221107,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C5,0.651864285,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C6,0.800491686,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C1,0.797924512,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C2,0.806411838,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C3,0.74806239,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C4,0.597519634,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C5,0.605336908,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C3,0.657043339,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C4,0.709763154,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C6,0.588983276,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C1,0.85506525,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C2,0.654969338,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C3,0.849836637,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C4,0.771973881,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C5,0.631057839,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C1,0.906921221,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C2,0.666661105,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C3,0.582380658,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C4,0.579476732,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C5,0.668244069,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C6,0.683952788,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C1,0.696865909,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C2,0.595385804,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C3,0.500444609,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C4,0.908621707,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C5,0.711471374,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C6,0.938951245,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C1,0.697306775,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C2,0.724868742,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C3,0.802479279,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C4,0.723031214,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C5,0.644041126,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C6,0.825637946,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C1,0.729598913,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C2,0.736411428,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C3,0.775759549,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C4,0.578463958,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C5,0.616029562,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_forest_C3,0.660968059,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_forest_C4,0.633527107,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_forest_C6,0.594257884,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C1,0.684461007,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C2,0.689396456,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C3,0.833442132,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C4,0.578204834,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C5,0.705602922,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C1,0.82813645,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C2,0.688919158,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C3,0.349914442,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C4,0.652912353,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C5,0.581763919,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_highway_C6,0.556956447,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C1,0.635776349,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C2,0.651773253,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C3,0.45581979,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C4,0.836997262,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C5,0.672052859,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_beach_C6,0.79843297,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C1,0.56308097,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C2,0.719796476,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C3,0.715283662,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C4,0.581357903,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C5,0.639033792,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C6,0.715201041,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C1,0.598821557,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C2,0.80534976,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C3,0.76745311,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C4,0.663004748,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C5,0.733410634,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C3,0.592214738,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C4,0.514185777,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C6,0.425907204,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C1,0.860614956,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C2,0.789680941,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C3,0.847120981,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C4,0.681576666,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C5,0.706469815,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C1,0.896121966,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C2,0.695178802,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C3,0.643366544,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C4,0.647303868,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C5,0.690925078,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C6,0.614870641,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C1,0.733962142,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C2,0.579727591,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C3,0.634215844,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C4,0.858648567,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C5,0.785277681,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C6,0.916735631,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C1,0.705731891,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C2,0.700869418,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C3,0.843615631,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C4,0.804880284,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C5,0.64967708,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C6,0.771270025,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C1,0.740266814,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C2,0.687969905,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C3,0.677778668,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C4,0.53959143,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_forest_C5,0.511136798,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_forest_C3,0.650524224,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_forest_C4,0.76172356,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_forest_C6,0.756944508,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background