left_right,left,right,imprinting,cond_name,correct_monitor
1A_00-2B_00,1A_00,2B_00,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_00-1A_00,2B_00,1A_00,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_30-2B_30,1A_30,2B_30,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_30-1A_30,2B_30,1A_30,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_60-2B_60,1A_60,2B_60,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_60-1A_60,2B_60,1A_60,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_00-2C_00,1A_00,2C_00,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_00-1A_00,2C_00,1A_00,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_30-2C_30,1A_30,2C_30,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_30-1A_30,2C_30,1A_30,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_60-2C_60,1A_60,2C_60,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_60-1A_60,2C_60,1A_60,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_00-2A_00,1B_00,2A_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_00-1B_00,2A_00,1B_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_30-2A_30,1B_30,2A_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_30-1B_30,2A_30,1B_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_60-2A_60,1B_60,2A_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_60-1B_60,2A_60,1B_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_00-2A_00,1C_00,2A_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_00-1C_00,2A_00,1C_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_30-2A_30,1C_30,2A_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_30-1C_30,2A_30,1C_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_60-2A_60,1C_60,2A_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_60-1C_60,2A_60,1C_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_00-2A_00,1A_00,2A_00,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_00-1A_00,2A_00,1A_00,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_30-2A_30,1A_30,2A_30,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_30-1A_30,2A_30,1A_30,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_60-2A_60,1A_60,2A_60,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2A_60-1A_60,2A_60,1A_60,ship_A,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_00-2B_00,1B_00,2B_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_00-1B_00,2B_00,1B_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_30-2B_30,1B_30,2B_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_30-1B_30,2B_30,1B_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_60-2B_60,1B_60,2B_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_60-1B_60,2B_60,1B_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_00-2C_00,1B_00,2C_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_00-1B_00,2C_00,1B_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_30-2C_30,1B_30,2C_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_30-1B_30,2C_30,1B_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_60-2C_60,1B_60,2C_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_60-1B_60,2C_60,1B_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_00-2B_00,1C_00,2B_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_00-1C_00,2B_00,1C_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_30-2B_30,1C_30,2B_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_30-1C_30,2B_30,1C_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_60-2B_60,1C_60,2B_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_60-1C_60,2B_60,1C_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_00-2C_00,1C_00,2C_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_00-1C_00,2C_00,1C_00,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_30-2C_30,1C_30,2C_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_30-1C_30,2C_30,1C_30,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_60-2C_60,1C_60,2C_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_60-1C_60,2C_60,1C_60,ship_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_00-White,1A_00,White,ship_A,Rest,left
White-1A_00,White,1A_00,ship_A,Rest,right
1B_00-2A_00,1B_00,2A_00,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_00-1B_00,2A_00,1B_00,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_30-2A_30,1B_30,2A_30,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_30-1B_30,2A_30,1B_30,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_60-2A_60,1B_60,2A_60,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_60-1B_60,2A_60,1B_60,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_00-2C_00,1B_00,2C_00,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_00-1B_00,2C_00,1B_00,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_30-2C_30,1B_30,2C_30,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_30-1B_30,2C_30,1B_30,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_60-2C_60,1B_60,2C_60,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_60-1B_60,2C_60,1B_60,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_00-2B_00,1A_00,2B_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_00-1A_00,2B_00,1A_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_30-2B_30,1A_30,2B_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_30-1A_30,2B_30,1A_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_60-2B_60,1A_60,2B_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_60-1A_60,2B_60,1A_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_00-2B_00,1C_00,2B_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_00-1C_00,2B_00,1C_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_30-2B_30,1C_30,2B_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_30-1C_30,2B_30,1C_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_60-2B_60,1C_60,2B_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_60-1C_60,2B_60,1C_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_00-2B_00,1B_00,2B_00,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_00-1B_00,2B_00,1B_00,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_30-2B_30,1B_30,2B_30,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_30-1B_30,2B_30,1B_30,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_60-2B_60,1B_60,2B_60,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2B_60-1B_60,2B_60,1B_60,ship_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_00-2A_00,1A_00,2A_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_00-1A_00,2A_00,1A_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_30-2A_30,1A_30,2A_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_30-1A_30,2A_30,1A_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_60-2A_60,1A_60,2A_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_60-1A_60,2A_60,1A_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_00-2C_00,1A_00,2C_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_00-1A_00,2C_00,1A_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_30-2C_30,1A_30,2C_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_30-1A_30,2C_30,1A_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_60-2C_60,1A_60,2C_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_60-1A_60,2C_60,1A_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_00-2A_00,1C_00,2A_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_00-1C_00,2A_00,1C_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_30-2A_30,1C_30,2A_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_30-1C_30,2A_30,1C_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_60-2A_60,1C_60,2A_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_60-1C_60,2A_60,1C_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_00-2C_00,1C_00,2C_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_00-1C_00,2C_00,1C_00,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_30-2C_30,1C_30,2C_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_30-1C_30,2C_30,1C_30,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_60-2C_60,1C_60,2C_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2C_60-1C_60,2C_60,1C_60,ship_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_00-White,1B_00,White,ship_B,Rest,left
White-1B_00,White,1B_00,ship_B,Rest,right
1C_00-2A_00,1C_00,2A_00,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_00-1C_00,2A_00,1C_00,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_30-2A_30,1C_30,2A_30,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_30-1C_30,2A_30,1C_30,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_60-2A_60,1C_60,2A_60,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_60-1C_60,2A_60,1C_60,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_00-2B_00,1C_00,2B_00,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_00-1C_00,2B_00,1C_00,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_30-2B_30,1C_30,2B_30,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_30-1C_30,2B_30,1C_30,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_60-2B_60,1C_60,2B_60,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_60-1C_60,2B_60,1C_60,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_00-2C_00,1A_00,2C_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_00-1A_00,2C_00,1A_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_30-2C_30,1A_30,2C_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_30-1A_30,2C_30,1A_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_60-2C_60,1A_60,2C_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_60-1A_60,2C_60,1A_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_00-2C_00,1B_00,2C_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_00-1B_00,2C_00,1B_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_30-2C_30,1B_30,2C_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_30-1B_30,2C_30,1B_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_60-2C_60,1B_60,2C_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_60-1B_60,2C_60,1B_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_00-2C_00,1C_00,2C_00,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_00-1C_00,2C_00,1C_00,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_30-2C_30,1C_30,2C_30,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_30-1C_30,2C_30,1C_30,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1C_60-2C_60,1C_60,2C_60,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_60-1C_60,2C_60,1C_60,ship_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1B_00-2B_00,1B_00,2B_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_00-1B_00,2B_00,1B_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_30-2B_30,1B_30,2B_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_30-1B_30,2B_30,1B_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_60-2B_60,1B_60,2B_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_60-1B_60,2B_60,1B_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_00-2A_00,1B_00,2A_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_00-1B_00,2A_00,1B_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_30-2A_30,1B_30,2A_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_30-1B_30,2A_30,1B_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1B_60-2A_60,1B_60,2A_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_60-1B_60,2A_60,1B_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_00-2B_00,1A_00,2B_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_00-1A_00,2B_00,1A_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_30-2B_30,1A_30,2B_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_30-1A_30,2B_30,1A_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_60-2B_60,1A_60,2B_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2B_60-1A_60,2B_60,1A_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_00-2A_00,1A_00,2A_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_00-1A_00,2A_00,1A_00,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_30-2A_30,1A_30,2A_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_30-1A_30,2A_30,1A_30,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1A_60-2A_60,1A_60,2A_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_60-1A_60,2A_60,1A_60,ship_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
1C_00-White,1C_00,White,ship_C,Rest,left
White-1C_00,White,1C_00,ship_C,Rest,right
